Age,Gender,Origin,HighSchool_GPA,Admission_Score,First_Semester_Grade,Socioeconomic_Level,Scholarship,Loan,Dropout
19.0,Female,Urban,95.48,58.89,42.77,High,No,No,No
24.0,Male,Rural,92.87,,74.03,Low,Yes,No,No
24.0,Male,Rural,98.23,80.9,57.03,High,No,Yes,No
18.0,Male,Urban,88.0,81.66,89.47,High,Yes,No,No
22.0,Male,Urban,72.11,,44.45,Medium,No,No,Yes
23.0,Female,Urban,65.6,61.63,53.58,Medium,Yes,Yes,Yes
18.0,Male,,66.04,61.04,83.81,Medium,,No,No
27.0,Male,,86.22,58.69,75.93,Medium,No,No,Yes
26.0,Female,Rural,87.29,82.79,43.87,Medium,No,Yes,Yes
18.0,Male,Rural,60.02,92.4,92.63,Medium,Yes,No,No
26.0,Male,Rural,93.41,86.22,92.64,Medium,No,Yes,No
17.0,Male,Urban,85.75,89.6,59.82,Medium,,Yes,No
24.0,Male,Urban,78.14,70.24,60.42,Low,No,Yes,No
17.0,Male,Rural,73.58,82.7,,High,No,Yes,No
25.0,Female,Urban,77.16,67.71,77.57,Medium,Yes,No,No
27.0,Male,Urban,57.96,76.28,71.88,Medium,No,Yes,Yes
22.0,Male,Urban,60.19,74.08,90.29,High,No,Yes,Yes
23.0,Male,Rural,54.56,,57.12,Low,Yes,No,No
29.0,Male,Rural,57.68,69.35,65.75,High,No,Yes,Yes
,Male,Urban,72.68,98.19,56.07,High,Yes,Yes,No
23.0,Female,Rural,76.52,62.43,87.35,Medium,Yes,Yes,No
26.0,Male,Urban,50.89,56.69,74.4,High,Yes,,No
19.0,Female,Urban,89.84,70.93,79.53,High,Yes,No,No
18.0,,Urban,64.71,,0.0,Medium,Yes,Yes,Yes
25.0,Male,Urban,95.59,79.11,53.21,Medium,No,No,No
24.0,Male,Rural,98.38,84.05,69.3,Medium,Yes,No,Yes
29.0,Male,Rural,59.27,59.48,84.25,Medium,Yes,Yes,No
28.0,Male,Rural,,80.95,71.51,High,No,Yes,No
26.0,Female,Urban,,66.18,,High,No,Yes,No
23.0,Male,Urban,79.92,91.72,92.11,Low,No,Yes,Yes
25.0,Male,Urban,80.37,81.46,,Low,Yes,No,No
20.0,Male,Rural,62.38,59.94,97.35,High,Yes,No,No
29.0,Male,Urban,77.92,53.23,41.51,Low,Yes,No,No
20.0,Male,Rural,61.28,52.13,81.67,High,No,Yes,Yes
17.0,Male,Rural,120.0,68.57,44.93,,Yes,No,Yes
24.0,Female,Rural,82.58,63.29,94.64,Medium,No,Yes,Yes
28.0,Female,Rural,66.3,82.3,67.87,Low,Yes,Yes,No
19.0,Male,Rural,120.0,74.97,48.25,Medium,No,Yes,Yes
23.0,Male,Rural,71.66,63.3,60.45,Medium,Yes,Yes,No
28.0,Male,Urban,99.22,57.46,49.89,Medium,Yes,Yes,Yes
18.0,Female,Urban,57.48,56.36,50.23,Medium,Yes,No,Yes
18.0,Male,Rural,73.23,93.23,96.89,Low,No,No,No
23.0,Female,Rural,84.02,62.17,66.71,High,No,Yes,Yes
22.0,Male,Urban,69.78,82.59,87.33,Medium,Yes,No,No
19.0,,Rural,98.73,90.53,78.38,Low,Yes,Yes,No
25.0,Male,Rural,86.09,80.7,80.59,Medium,Yes,Yes,Yes
26.0,Male,Urban,82.85,92.98,47.9,Low,No,Yes,No
29.0,Female,Rural,87.85,69.62,54.05,Low,Yes,No,No
22.0,Female,Rural,97.63,97.81,87.21,Low,,Yes,Yes
26.0,Male,Rural,95.39,56.66,98.25,High,Yes,,Yes
26.0,Male,Urban,86.21,55.11,55.76,Low,Yes,No,No
,Female,Urban,120.0,82.93,56.29,Low,No,No,Yes
17.0,Female,Urban,57.3,97.14,68.37,High,No,No,No
20.0,Female,Rural,,90.44,99.03,High,Yes,Yes,No
26.0,Female,,78.55,53.82,56.14,Low,Yes,Yes,Yes
22.0,Male,Urban,50.92,63.97,64.42,High,No,No,Yes
22.0,Female,Rural,74.12,96.52,93.49,Medium,No,Yes,Yes
27.0,Male,Rural,60.52,62.65,40.18,Medium,Yes,No,Yes
28.0,Female,,67.3,89.06,42.39,High,No,No,No
21.0,Female,Rural,88.79,91.26,76.24,High,No,Yes,No
17.0,Female,Rural,97.06,74.77,94.44,Low,Yes,Yes,Yes
24.0,Female,Urban,53.62,69.32,54.33,High,No,No,Yes
21.0,Female,Rural,76.71,72.51,68.18,Low,No,No,No
28.0,Male,Urban,94.13,61.35,67.03,,Yes,No,No
28.0,Male,Rural,54.13,94.47,68.38,High,,,No
28.0,Female,Urban,91.23,72.53,77.35,Low,No,,No
21.0,Female,Rural,67.89,94.12,,Low,Yes,No,Yes
23.0,,Urban,66.1,55.28,66.85,Medium,No,No,No
20.0,Female,Rural,98.87,99.41,,High,Yes,No,No
22.0,Female,Urban,60.04,72.16,75.45,Medium,No,Yes,Yes
29.0,Male,Rural,84.66,52.39,72.22,Low,Yes,Yes,No
20.0,Female,Urban,91.07,51.9,91.25,Low,No,No,No
19.0,Female,Rural,52.06,87.31,42.97,High,No,Yes,Yes
23.0,Male,Urban,83.52,82.95,90.0,Low,No,Yes,Yes
24.0,Male,Urban,97.58,90.11,90.64,High,Yes,Yes,
20.0,Male,Rural,56.21,55.27,57.09,Medium,Yes,No,No
29.0,Female,Rural,94.81,51.78,67.77,High,No,No,No
18.0,Male,,79.74,75.43,66.31,High,No,Yes,Yes
28.0,Male,Rural,80.83,69.38,53.11,Low,Yes,No,Yes
26.0,Male,Urban,80.65,73.1,63.81,Low,Yes,No,No
19.0,Male,Urban,64.94,99.58,42.66,High,Yes,,Yes
17.0,Male,,96.76,98.54,56.67,Low,Yes,Yes,Yes
24.0,Male,Rural,97.37,97.12,89.0,Low,Yes,No,Yes
19.0,Female,Urban,81.27,89.19,0.0,Low,Yes,Yes,No
,Female,Urban,89.17,67.74,,High,No,No,No
26.0,Male,Rural,80.61,70.61,71.9,Low,Yes,No,No
23.0,Male,Rural,74.22,77.48,92.79,High,No,,No
26.0,Male,Rural,83.04,91.53,74.49,Low,Yes,No,No
21.0,Female,Rural,77.65,53.44,41.78,Medium,,No,No
